protein_accession,protein_description,control_1,control_2,control_3,treatment_1,treatment_2,treatment_3
HOOK3_HUMAN_Q86VS8,Protein Hook homolog 3 OS=Homo sapiens GN=HOOK3 PE=1 SV=2,0.2351,0.2514,NA,0.1272,NA,NA
K7ERF1_HUMAN_K7ERF1,Eukaryotic translation initiation factor 3 subunit K OS=Homo sapiens GN=EIF3K PE=1 SV=1,NA,NA,0.3419,0.5162,NA,0.4476
CLH2_HUMAN_P53675,Clathrin heavy chain 2 OS=Homo sapiens GN=CLTCL1 PE=1 SV=2,0.062,0.1594,0.0036,0.7852,NA,2.8118
AT2B2_HUMAN_Q01814,Plasma membrane calcium-transporting ATPase 2 OS=Homo sapiens GN=ATP2B2 PE=1 SV=2,0.2362,0.1158,NA,0.0984,0.2452,0.3555
KIF1C_HUMAN_O43896,Kinesin-like protein KIF1C OS=Homo sapiens GN=KIF1C PE=1 SV=3,0.0804,4.2464,NA,0.4563,0.2797,0.1711
ZN638_HUMAN_Q14966,Zinc finger protein 638 OS=Homo sapiens GN=ZNF638 PE=1 SV=2,0.1117,0.1591,0.1617,NA,0.2386,0.1443
SR140_HUMAN_O15042,U2 snRNP-associated SURP motif-containing protein OS=Homo sapiens GN=U2SURP PE=1 SV=2,0.3625,0.4262,NA,0.3825,NA,NA
A0A0G2JS82_HUMAN_A0A0G2JS82,AP-2 complex subunit alpha-2 (Fragment) OS=Homo sapiens GN=AP2A2 PE=1 SV=1,0.4993,0.3005,NA,NA,0.1983,0.4485
RB3GP_HUMAN_Q15042,Rab3 GTPase-activating protein catalytic subunit OS=Homo sapiens GN=RAB3GAP1 PE=1 SV=3,1.6008,NA,0.4428,NA,1.3435,NA
LMO7_HUMAN_Q8WWI1,LIM domain only protein 7 OS=Homo sapiens GN=LMO7 PE=1 SV=3,NA,0.2506,NA,1.3117,1.3737,3.9575
DD19B_HUMAN_Q9UMR2,ATP-dependent RNA helicase DDX19B OS=Homo sapiens GN=DDX19B PE=1 SV=1,NA,0.9829,1.6703,0.0468,0.9552,NA
HIF1N_HUMAN_Q9NWT6,Hypoxia-inducible factor 1-alpha inhibitor OS=Homo sapiens GN=HIF1AN PE=1 SV=2,NA,NA,NA,0.1895,0.0818,0.2706
CSK22_HUMAN_P19784,Casein kinase II subunit alpha' OS=Homo sapiens GN=CSNK2A2 PE=1 SV=1,0.2449,NA,0.1933,0.1674,NA,NA
LIPA3_HUMAN_O75145,Liprin-alpha-3 OS=Homo sapiens GN=PPFIA3 PE=1 SV=3,0.0059,0.4669,0.3296,0.2861,0.5548,0.1393
E5RGX5_HUMAN_E5RGX5,Stathmin OS=Homo sapiens GN=STMN2 PE=1 SV=1,0.0058,0.0077,0.0011,0.0067,NA,0.0068
H7C2B5_HUMAN_H7C2B5,Telomere-associated protein RIF1 (Fragment) OS=Homo sapiens GN=RIF1 PE=1 SV=1,NA,0.0911,NA,0.1334,0.1136,0.3025
PKHA4_HUMAN_Q9H4M7,Pleckstrin homology domain-containing family A member 4 OS=Homo sapiens GN=PLEKHA4 PE=1 SV=2,0.375,0.4759,0.5452,NA,0.7729,0.3201
K1C15_HUMAN_P19012,Keratin_ type I cytoskeletal 15 OS=Homo sapiens GN=KRT15 PE=1 SV=3,0.0029,0.0615,0.1223,0.2847,NA,0.0061
INF2_HUMAN_Q27J81,Inverted formin-2 OS=Homo sapiens GN=INF2 PE=1 SV=2,0.3238,0.1445,0.3545,0.2177,NA,NA
HS902_HUMAN_Q14568,Heat shock protein HSP 90-alpha A2 OS=Homo sapiens GN=HSP90AA2P PE=1 SV=2,0.2315,NA,0.2561,0.165,0.0157,0.1376
FLOT2_HUMAN_Q14254,Flotillin-2 OS=Homo sapiens GN=FLOT2 PE=1 SV=2,0.2385,0.1536,0.167,NA,NA,0.1458
VGFR2_HUMAN_P35968,Vascular endothelial growth factor receptor 2 OS=Homo sapiens GN=KDR PE=1 SV=2,0.0125,NA,0.3065,0.0997,NA,0.1953
MPRIP_HUMAN_Q6WCQ1,Myosin phosphatase Rho-interacting protein OS=Homo sapiens GN=MPRIP PE=1 SV=3,0.1674,NA,NA,0.3618,0.3144,0.4121
NXP20_HUMAN_Q8IWE2,Protein NOXP20 OS=Homo sapiens GN=FAM114A1 PE=1 SV=2,NA,0.1958,0.1404,0.1815,0.1776,NA
NUP62_HUMAN_P37198,Nuclear pore glycoprotein p62 OS=Homo sapiens GN=NUP62 PE=1 SV=3,NA,NA,NA,0.1102,0.0303,NA
KTHY_HUMAN_P23919,Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4,0.1815,NA,0.163,0.1796,0.0815,0.1464
SCPDL_HUMAN_Q8NBX0,Saccharopine dehydrogenase-like oxidoreductase OS=Homo sapiens GN=SCCPDH PE=1 SV=1,0.0047,NA,0.0683,0.0603,NA,NA
PHF3_HUMAN_Q92576,PHD finger protein 3 OS=Homo sapiens GN=PHF3 PE=1 SV=3,0.0882,NA,0.036,NA,5.2774,NA
STAT3_HUMAN_P40763,Signal transducer and activator of transcription 3 OS=Homo sapiens GN=STAT3 PE=1 SV=2,NA,NA,NA,0.9333,0.9812,0.8569
F5GWT4_HUMAN_F5GWT4,Serine/threonine-protein kinase WNK1 OS=Homo sapiens GN=WNK1 PE=1 SV=1,3.7815,0.488,NA,0.3693,NA,0.2986
RHG21_HUMAN_Q5T5U3,Rho GTPase-activating protein 21 OS=Homo sapiens GN=ARHGAP21 PE=1 SV=1,1.5507,1.0118,0.3964,0.061,NA,0.6921
XPP1_HUMAN_Q9NQW7,Xaa-Pro aminopeptidase 1 OS=Homo sapiens GN=XPNPEP1 PE=1 SV=3,0.294,0.326,NA,0.3945,0.3853,0.3163
SNX4_HUMAN_O95219,Sorting nexin-4 OS=Homo sapiens GN=SNX4 PE=1 SV=1,0.1731,0.1168,0.2568,NA,0.1779,0.2383
BCD1_HUMAN_Q9NWK9,Box C/D snoRNA protein 1 OS=Homo sapiens GN=ZNHIT6 PE=1 SV=1,0.177,NA,0.2462,NA,0.317,0.0574
CHD3_HUMAN_Q12873,Chromodomain-helicase-DNA-binding protein 3 OS=Homo sapiens GN=CHD3 PE=1 SV=3,0.7794,1.7845,2.2271,0.9313,NA,NA
ACOD_HUMAN_O00767,Acyl-CoA desaturase OS=Homo sapiens GN=SCD PE=1 SV=2,0.3516,NA,NA,0.514,0.2467,0.2601
OFD1_HUMAN_O75665,Oral-facial-digital syndrome 1 protein OS=Homo sapiens GN=OFD1 PE=1 SV=1,NA,2.3047,NA,NA,NA,1.7044
B4DWR3_HUMAN_B4DWR3,Prefoldin subunit 3 OS=Homo sapiens GN=VBP1 PE=1 SV=1,0.1816,0.1836,NA,NA,0.1605,0.158
TXLNG_HUMAN_Q9NUQ3,Gamma-taxilin OS=Homo sapiens GN=TXLNG PE=1 SV=2,0.1423,0.0855,0.1303,NA,0.0848,0.1205
SNR40_HUMAN_Q96DI7,U5 small nuclear ribonucleoprotein 40 kDa protein OS=Homo sapiens GN=SNRNP40 PE=1 SV=1,NA,0.0646,0.0813,0.0872,0.0799,0.063
CD166_HUMAN_Q13740,CD166 antigen OS=Homo sapiens GN=ALCAM PE=1 SV=2,1.4795,NA,1.1603,1.3782,1.3453,1.1777
A0A1B0GVY6_HUMAN_A0A1B0GVY6,Very-long-chain 3-oxoacyl-CoA reductase (Fragment) OS=Homo sapiens GN=HSD17B12 PE=1 SV=1,0.1752,0.1371,NA,0.1126,0.1049,NA
PEBB_HUMAN_Q13951,Core-binding factor subunit beta OS=Homo sapiens GN=CBFB PE=1 SV=2,0.3773,NA,0.1358,0.5712,0.2008,0.1767
CTNB1_HUMAN_P35222,Catenin beta-1 OS=Homo sapiens GN=CTNNB1 PE=1 SV=1,0.6674,0.2555,NA,0.6182,0.5982,0.6938
PANK2_HUMAN_Q9BZ23,Pantothenate kinase 2_ mitochondrial OS=Homo sapiens GN=PANK2 PE=1 SV=3,0.0519,0.0732,NA,NA,NA,0.0389
TAOK1_HUMAN_Q7L7X3,Serine/threonine-protein kinase TAO1 OS=Homo sapiens GN=TAOK1 PE=1 SV=1,0.2926,1.359,0.3125,0.011,NA,0.1564
EXOS3_HUMAN_Q9NQT5,Exosome complex component RRP40 OS=Homo sapiens GN=EXOSC3 PE=1 SV=3,NA,NA,0.0497,0.0808,0.0679,NA
B0QYK0_HUMAN_B0QYK0,RNA-binding protein EWS OS=Homo sapiens GN=EWSR1 PE=1 SV=1,NA,0.9801,NA,NA,0.7322,0.6193
CHID1_HUMAN_Q9BWS9,Chitinase domain-containing protein 1 OS=Homo sapiens GN=CHID1 PE=1 SV=1,0.2964,0.1414,NA,NA,0.193,0.2833
E9PRJ3_HUMAN_E9PRJ3,Tetraspanin (Fragment) OS=Homo sapiens GN=CD151 PE=1 SV=1,NA,0.1999,0.1336,0.1916,NA,NA
TM263_HUMAN_Q8WUH6,Transmembrane protein 263 OS=Homo sapiens GN=TMEM263 PE=1 SV=1,NA,0.0479,0.0458,0.053900000000000003,0.0513,0.0454
H3BPG5_HUMAN_H3BPG5,RNA binding protein S1_ serine-rich domain_ isoform CRA_c OS=Homo sapiens GN=RNPS1 PE=1 SV=1,0.0832,0.0868,NA,0.0753,0.0704,NA
TSC2_HUMAN_P49815,Tuberin OS=Homo sapiens GN=TSC2 PE=1 SV=2,2.4786,1.7074,2.0984,1.3846,NA,NA
THIK_HUMAN_P09110,3-ketoacyl-CoA thiolase_ peroxisomal OS=Homo sapiens GN=ACAA1 PE=1 SV=2,NA,0.0668,NA,0.0659,NA,NA
EMC3_HUMAN_Q9P0I2,ER membrane protein complex subunit 3 OS=Homo sapiens GN=EMC3 PE=1 SV=3,0.2155,NA,0.0587,NA,NA,0.0588
FMR1_HUMAN_Q06787,Synaptic functional regulator FMR1 OS=Homo sapiens GN=FMR1 PE=1 SV=1,0.1996,0.0763,NA,NA,0.0956,NA
CDC73_HUMAN_Q6P1J9,Parafibromin OS=Homo sapiens GN=CDC73 PE=1 SV=1,NA,0.1613,NA,0.3625,0.2242,NA
MYO1A_HUMAN_Q9UBC5,Unconventional myosin-Ia OS=Homo sapiens GN=MYO1A PE=2 SV=1,NA,NA,0.4939,2.2041,NA,0.2364
HACD3_HUMAN_Q9P035,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3 OS=Homo sapiens GN=HACD3 PE=1 SV=2,0.2478,NA,NA,0.2141,0.2007,0.1162
CDN1A_HUMAN_P38936,Cyclin-dependent kinase inhibitor 1 OS=Homo sapiens GN=CDKN1A PE=1 SV=3,0.0191,NA,NA,NA,NA,NA
A0A0U1RRG3_HUMAN_A0A0U1RRG3,Fatty acid synthase (Fragment) OS=Homo sapiens GN=FASN PE=1 SV=1,NA,0.0471,NA,0.0794,NA,NA
UB2V2_HUMAN_Q15819,Ubiquitin-conjugating enzyme E2 variant 2 OS=Homo sapiens GN=UBE2V2 PE=1 SV=4,0.3286,NA,0.3079,NA,0.0057,0.4058
EVI2B_HUMAN_P34910,Protein EVI2B OS=Homo sapiens GN=EVI2B PE=1 SV=2,0.1914,0.1699,0.1765,NA,0.0316,NA
B1AMS2_HUMAN_B1AMS2,Septin 6_ isoform CRA_b OS=Homo sapiens GN=SEPT6 PE=1 SV=1,NA,0.6093,0.0493,0.5513,0.6107,0.5786
E7ETB9_HUMAN_E7ETB9,Dystonin (Fragment) OS=Homo sapiens GN=DST PE=1 SV=1,1.0029,0.8082,NA,0.3592,NA,0.6022
JAM1_HUMAN_Q9Y624,Junctional adhesion molecule A OS=Homo sapiens GN=F11R PE=1 SV=1,NA,0.0613,0.1504,0.0524,NA,NA
K2C73_HUMAN_Q86Y46,Keratin_ type II cytoskeletal 73 OS=Homo sapiens GN=KRT73 PE=1 SV=1,0.1292,0.0548,0.0501,NA,NA,NA
NQO1_HUMAN_P15559,NAD(P)H dehydrogenase [quinone] 1 OS=Homo sapiens GN=NQO1 PE=1 SV=1,0.3982,0.2579,NA,0.1571,0.2155,NA
B7Z6D5_HUMAN_B7Z6D5,Probable ATP-dependent RNA helicase DDX27 OS=Homo sapiens GN=DDX27 PE=1 SV=1,0.6272,NA,0.2683,NA,NA,0.2154
SNP29_HUMAN_O95721,Synaptosomal-associated protein 29 OS=Homo sapiens GN=SNAP29 PE=1 SV=1,0.09,0.0816,0.0776,NA,NA,0.0708
HNRL2_HUMAN_Q1KMD3,Heterogeneous nuclear ribonucleoprotein U-like protein 2 OS=Homo sapiens GN=HNRNPUL2 PE=1 SV=1,NA,NA,NA,1.1901,1.1747,1.1363
H3BLU7_HUMAN_H3BLU7,Aflatoxin B1 aldehyde reductase member 2 (Fragment) OS=Homo sapiens GN=AKR7A2 PE=1 SV=1,NA,NA,NA,NA,0.0921,NA
B1AKY9_HUMAN_B1AKY9,Sodium/potassium-transporting ATPase subunit alpha OS=Homo sapiens GN=ATP1A2 PE=1 SV=1,1.5603,2.1924,0.7863,0.2184,NA,0.2669
UBA5_HUMAN_Q9GZZ9,Ubiquitin-like modifier-activating enzyme 5 OS=Homo sapiens GN=UBA5 PE=1 SV=1,0.2424,0.1322,0.1287,NA,0.209,NA
CDK4_HUMAN_P11802,Cyclin-dependent kinase 4 OS=Homo sapiens GN=CDK4 PE=1 SV=2,0.078,NA,NA,0.0828,NA,NA
MPZL1_HUMAN_O95297,Myelin protein zero-like protein 1 OS=Homo sapiens GN=MPZL1 PE=1 SV=1,NA,NA,NA,0.0472,0.043,0.0344
K2C5_HUMAN_P13647,Keratin_ type II cytoskeletal 5 OS=Homo sapiens GN=KRT5 PE=1 SV=3,0.0432,0.0291,5.076,NA,1.2776,NA
CI078_HUMAN_Q9NZ63,Uncharacterized protein C9orf78 OS=Homo sapiens GN=C9orf78 PE=1 SV=1,NA,0.0688,0.0681,0.0571,NA,0.0474
PNCB_HUMAN_Q6XQN6,Nicotinate phosphoribosyltransferase OS=Homo sapiens GN=NAPRT PE=1 SV=2,NA,NA,0.0749,0.0299,0.0518,NA
EPHB3_HUMAN_P54753,Ephrin type-B receptor 3 OS=Homo sapiens GN=EPHB3 PE=1 SV=2,0.8372,NA,NA,NA,0.8455,0.3144
T2EB_HUMAN_P29084,Transcription initiation factor IIE subunit beta OS=Homo sapiens GN=GTF2E2 PE=1 SV=1,NA,0.0437,0.0919,0.0464,0.0768,NA
HXK2_HUMAN_P52789,Hexokinase-2 OS=Homo sapiens GN=HK2 PE=1 SV=2,NA,1.2136,NA,NA,NA,0.3586
CAND2_HUMAN_O75155,Cullin-associated NEDD8-dissociated protein 2 OS=Homo sapiens GN=CAND2 PE=1 SV=3,0.2056,NA,0.5428,0.0087,0.593,NA
ENDD1_HUMAN_O94919,Endonuclease domain-containing 1 protein OS=Homo sapiens GN=ENDOD1 PE=1 SV=2,0.1373,NA,0.142,NA,0.1046,NA
B7ZC39_HUMAN_B7ZC39,Endophilin-B2 OS=Homo sapiens GN=SH3GLB2 PE=1 SV=1,0.2367,0.1216,0.0797,0.7291,0.1116,NA
ACADM_HUMAN_P11310,Medium-chain specific acyl-CoA dehydrogenase_ mitochondrial OS=Homo sapiens GN=ACADM PE=1 SV=1,0.1512,0.1336,0.2654,0.1472,NA,0.0862
ARFP2_HUMAN_P53365,Arfaptin-2 OS=Homo sapiens GN=ARFIP2 PE=1 SV=1,NA,0.1001,0.1757,0.1208,0.1208,0.0508
A0A0C4DGX4_HUMAN_A0A0C4DGX4,Cullin-1 OS=Homo sapiens GN=CUL1 PE=1 SV=1,0.3423,NA,NA,0.2396,0.2719,0.2023
CL043_HUMAN_Q96C57,Uncharacterized protein C12orf43 OS=Homo sapiens GN=C12orf43 PE=1 SV=2,NA,0.0502,0.0407,0.0332,NA,NA
RCL1_HUMAN_Q9Y2P8,RNA 3'-terminal phosphate cyclase-like protein OS=Homo sapiens GN=RCL1 PE=1 SV=3,NA,NA,NA,NA,0.0497,NA
ATP4A_HUMAN_P20648,Potassium-transporting ATPase alpha chain 1 OS=Homo sapiens GN=ATP4A PE=2 SV=5,0.6375,NA,NA,0.0518,0.0635,0.1169
E9PFN5_HUMAN_E9PFN5,Glutathione S-transferase kappa OS=Homo sapiens GN=GSTK1 PE=1 SV=1,0.8048,NA,0.8536,0.6216,0.6306,NA
BCOR_HUMAN_Q6W2J9,BCL-6 corepressor OS=Homo sapiens GN=BCOR PE=1 SV=1,NA,1.2662,NA,NA,NA,3.7625
A0A0A6YYL4_HUMAN_A0A0A6YYL4,Coronin OS=Homo sapiens GN=CORO7-PAM16 PE=3 SV=1,NA,0.5949,NA,NA,0.7585,0.4
RL8_HUMAN_P62917,60S ribosomal protein L8 OS=Homo sapiens GN=RPL8 PE=1 SV=2,1.2872,NA,NA,1.0242,NA,NA
GRAP1_HUMAN_Q4V328,GRIP1-associated protein 1 OS=Homo sapiens GN=GRIPAP1 PE=1 SV=1,NA,NA,NA,NA,0.3535,0.6138
RHG35_HUMAN_Q9NRY4,Rho GTPase-activating protein 35 OS=Homo sapiens GN=ARHGAP35 PE=1 SV=3,1.7148,NA,1.6925,0.9922,NA,1.9935
PAR14_HUMAN_Q460N5,Poly [ADP-ribose] polymerase 14 OS=Homo sapiens GN=PARP14 PE=1 SV=3,0.617,0.665,2.3185,0.1667,NA,0.3464
H0YK42_HUMAN_H0YK42,Sorting nexin-1 OS=Homo sapiens GN=SNX1 PE=1 SV=1,NA,0.2219,NA,0.1533,0.1751,NA
GOGA1_HUMAN_Q92805,Golgin subfamily A member 1 OS=Homo sapiens GN=GOLGA1 PE=1 SV=3,NA,0.7581,0.4264,0.2073,NA,0.0474
DCTN4_HUMAN_Q9UJW0,Dynactin subunit 4 OS=Homo sapiens GN=DCTN4 PE=1 SV=1,NA,NA,NA,0.1552,0.0805,0.0879
B1AJQ6_HUMAN_B1AJQ6,Syntaxin-12 (Fragment) OS=Homo sapiens GN=STX12 PE=1 SV=2,NA,0.1502,0.113,NA,0.0558,NA
E9PHA6_HUMAN_E9PHA6,DNA mismatch repair protein OS=Homo sapiens GN=MSH2 PE=1 SV=1,NA,0.5714,0.6417,0.5007,NA,NA
EPHA3_HUMAN_P29320,Ephrin type-A receptor 3 OS=Homo sapiens GN=EPHA3 PE=1 SV=2,NA,0.0117,NA,NA,NA,0.2162
E9PGT6_HUMAN_E9PGT6,COP9 signalosome complex subunit 8 OS=Homo sapiens GN=COPS8 PE=1 SV=1,NA,NA,NA,0.1359,0.1193,0.1053
H7BYL6_HUMAN_H7BYL6,A-kinase anchor protein 9 (Fragment) OS=Homo sapiens GN=AKAP9 PE=1 SV=1,0.0403,0.584,0.1826,0.7057,NA,NA
RT27_HUMAN_Q92552,28S ribosomal protein S27_ mitochondrial OS=Homo sapiens GN=MRPS27 PE=1 SV=3,NA,0.0214,NA,0.141,NA,0.5851
KIF1B_HUMAN_O60333,Kinesin-like protein KIF1B OS=Homo sapiens GN=KIF1B PE=1 SV=5,0.1338,2.8876,NA,0.3026,0.2345,NA
H0YCU9_HUMAN_H0YCU9,Transgelin (Fragment) OS=Homo sapiens GN=TAGLN PE=1 SV=1,0.1925,NA,0.179,NA,NA,NA
D6RG15_HUMAN_D6RG15,Twinfilin-2 OS=Homo sapiens GN=TWF2 PE=1 SV=1,NA,0.061,0.077,0.0901,NA,NA
PRPS3_HUMAN_P21108,Ribose-phosphate pyrophosphokinase 3 OS=Homo sapiens GN=PRPS1L1 PE=1 SV=2,0.0246,0.0148,0.0075,NA,0.0207,NA
H14_HUMAN_P10412,Histone H1.4 OS=Homo sapiens GN=HIST1H1E PE=1 SV=2,2.2909,2.1299,2.1685,NA,1.4845,NA
UBP15_HUMAN_Q9Y4E8,Ubiquitin carboxyl-terminal hydrolase 15 OS=Homo sapiens GN=USP15 PE=1 SV=3,NA,0.1148,0.2459,0.1311,0.1823,0.7464
RAC3_HUMAN_P60763,Ras-related C3 botulinum toxin substrate 3 OS=Homo sapiens GN=RAC3 PE=1 SV=1,0.4839,0.4929,0.4908,0.4482,0.2333,NA
H0YMB3_HUMAN_H0YMB3,GMP reductase OS=Homo sapiens GN=GMPR2 PE=1 SV=1,NA,0.1956,NA,0.1475,0.1343,0.1615
CFA20_HUMAN_Q9Y6A4,Cilia- and flagella-associated protein 20 OS=Homo sapiens GN=CFAP20 PE=1 SV=1,0.1408,NA,0.0882,0.1126,NA,0.1135
TPX2_HUMAN_Q9ULW0,Targeting protein for Xklp2 OS=Homo sapiens GN=TPX2 PE=1 SV=2,NA,NA,0.1301,0.0688,NA,0.1444
NUCB1_HUMAN_Q02818,Nucleobindin-1 OS=Homo sapiens GN=NUCB1 PE=1 SV=4,0.12,0.4648,NA,0.0856,0.1973,NA
STAG2_HUMAN_Q8N3U4,Cohesin subunit SA-2 OS=Homo sapiens GN=STAG2 PE=1 SV=3,0.2396,NA,NA,0.7508,NA,NA
K2C78_HUMAN_Q8N1N4,Keratin_ type II cytoskeletal 78 OS=Homo sapiens GN=KRT78 PE=1 SV=2,0.1293,NA,0.2249,NA,0.016,0.1053
ENPLL_HUMAN_Q58FF3,Putative endoplasmin-like protein OS=Homo sapiens GN=HSP90B2P PE=5 SV=1,0.0026,NA,NA,0.694,0.671,0.0195
PHLB1_HUMAN_Q86UU1,Pleckstrin homology-like domain family B member 1 OS=Homo sapiens GN=PHLDB1 PE=1 SV=1,NA,NA,0.4247,0.4363,0.4577,0.6043
CHD2_HUMAN_O14647,Chromodomain-helicase-DNA-binding protein 2 OS=Homo sapiens GN=CHD2 PE=1 SV=2,NA,0.2262,NA,NA,2.0046,0.2088
SART3_HUMAN_Q15020,Squamous cell carcinoma antigen recognized by T-cells 3 OS=Homo sapiens GN=SART3 PE=1 SV=1,NA,0.1936,1.8121,NA,1.1495,0.3498
FA50A_HUMAN_Q14320,Protein FAM50A OS=Homo sapiens GN=FAM50A PE=1 SV=2,0.4483,NA,0.3674,NA,0.305,NA
H0Y4R1_HUMAN_H0Y4R1,Inosine-5'-monophosphate dehydrogenase 2 (Fragment) OS=Homo sapiens GN=IMPDH2 PE=1 SV=1,NA,1.4429,NA,1.4549,NA,NA
TENA_HUMAN_P24821,Tenascin OS=Homo sapiens GN=TNC PE=1 SV=3,0.6915,NA,0.5381,0.3393,3.4733,0.1495
PSA2_HUMAN_P25787,Proteasome subunit alpha type-2 OS=Homo sapiens GN=PSMA2 PE=1 SV=2,0.1475,0.1456,NA,NA,NA,0.1318
SFR15_HUMAN_O95104,Splicing factor_ arginine/serine-rich 15 OS=Homo sapiens GN=SCAF4 PE=1 SV=3,NA,0.3135,0.4127,NA,0.2226,NA
ATG7_HUMAN_O95352,Ubiquitin-like modifier-activating enzyme ATG7 OS=Homo sapiens GN=ATG7 PE=1 SV=1,0.0599,NA,NA,NA,0.0734,NA
DIDO1_HUMAN_Q9BTC0,Death-inducer obliterator 1 OS=Homo sapiens GN=DIDO1 PE=1 SV=5,NA,0.5418,NA,NA,0.3599,NA
ARHG2_HUMAN_Q92974,Rho guanine nucleotide exchange factor 2 OS=Homo sapiens GN=ARHGEF2 PE=1 SV=4,0.3044,NA,NA,0.3374,0.2998,NA
MYO1C_HUMAN_O00159,Unconventional myosin-Ic OS=Homo sapiens GN=MYO1C PE=1 SV=4,1.8591,1.7666,NA,3.0124,NA,1.8526
SBNO1_HUMAN_A3KN83,Protein strawberry notch homolog 1 OS=Homo sapiens GN=SBNO1 PE=1 SV=1,NA,0.0612,NA,NA,1.3572,1.8423
TTC37_HUMAN_Q6PGP7,Tetratricopeptide repeat protein 37 OS=Homo sapiens GN=TTC37 PE=1 SV=1,NA,NA,NA,0.622,NA,0.0737
PHLB2_HUMAN_Q86SQ0,Pleckstrin homology-like domain family B member 2 OS=Homo sapiens GN=PHLDB2 PE=1 SV=2,NA,0.6115,NA,0.2871,0.9235,0.2341
PFD1_HUMAN_O60925,Prefoldin subunit 1 OS=Homo sapiens GN=PFDN1 PE=1 SV=2,0.0289,NA,0.1042,0.0703,NA,0.0743
I3L3B4_HUMAN_I3L3B4,Uncharacterized protein (Fragment) OS=Homo sapiens PE=4 SV=1,0.0712,NA,NA,0.0849,0.0789,0.1069
A0A1B0GTY9_HUMAN_A0A1B0GTY9,Alpha-aminoadipic semialdehyde dehydrogenase OS=Homo sapiens GN=ALDH7A1 PE=1 SV=1,NA,NA,0.6387,0.9667,NA,NA
HNRPU_HUMAN_Q00839,Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens GN=HNRNPU PE=1 SV=6,5.1437,NA,NA,NA,4.191,3.7962
PDCD4_HUMAN_Q53EL6,Programmed cell death protein 4 OS=Homo sapiens GN=PDCD4 PE=1 SV=2,0.2451,0.083,NA,0.0978,0.0864,0.1101
DHB4_HUMAN_P51659,Peroxisomal multifunctional enzyme type 2 OS=Homo sapiens GN=HSD17B4 PE=1 SV=3,NA,NA,NA,0.8023,NA,NA
G3V3I1_HUMAN_G3V3I1,Proteasome subunit alpha type OS=Homo sapiens GN=PSMA6 PE=1 SV=1,NA,0.4742,NA,NA,0.4926,NA
FND3A_HUMAN_Q9Y2H6,Fibronectin type-III domain-containing protein 3A OS=Homo sapiens GN=FNDC3A PE=1 SV=4,NA,0.1309,0.0433,1.3762,0.9896,0.3674
HP1B3_HUMAN_Q5SSJ5,Heterochromatin protein 1-binding protein 3 OS=Homo sapiens GN=HP1BP3 PE=1 SV=1,NA,NA,0.4031,0.2276,0.2871,NA
H7C3T4_HUMAN_H7C3T4,Peroxiredoxin-4 (Fragment) OS=Homo sapiens GN=PRDX4 PE=1 SV=1,0.0923,0.0889,NA,NA,0.0485,0.0598
H0YFA4_HUMAN_H0YFA4,Cysteine-rich protein 2 (Fragment) OS=Homo sapiens GN=CRIP2 PE=1 SV=1,NA,0.231,0.6758,0.2477,0.1736,NA
E41L3_HUMAN_Q9Y2J2,Band 4.1-like protein 3 OS=Homo sapiens GN=EPB41L3 PE=1 SV=2,0.0058,0.0128,NA,0.1439,NA,0.0028
ARHGC_HUMAN_Q9NZN5,Rho guanine nucleotide exchange factor 12 OS=Homo sapiens GN=ARHGEF12 PE=1 SV=1,1.5096,NA,NA,3.5415,2.6787,NA
SDF2L_HUMAN_Q9HCN8,Stromal cell-derived factor 2-like protein 1 OS=Homo sapiens GN=SDF2L1 PE=1 SV=2,0.1554,NA,NA,0.1372,NA,0.081
A0A0D9SFB3_HUMAN_A0A0D9SFB3,ATP-dependent RNA helicase DDX3X OS=Homo sapiens GN=DDX3X PE=1 SV=1,2.6416,NA,3.0751,NA,1.5692,1.7418
SUCA_HUMAN_P53597,Succinate--CoA ligase [ADP/GDP-forming] subunit alpha_ mitochondrial OS=Homo sapiens GN=SUCLG1 PE=1 SV=4,NA,0.3808,0.7407,NA,0.5369,NA
NRDC_HUMAN_O43847,Nardilysin OS=Homo sapiens GN=NRDC PE=1 SV=2,0.2234,NA,NA,NA,0.182,NA
DYR_HUMAN_P00374,Dihydrofolate reductase OS=Homo sapiens GN=DHFR PE=1 SV=2,NA,0.1299,NA,NA,0.1031,0.0874
DC1I2_HUMAN_Q13409,Cytoplasmic dynein 1 intermediate chain 2 OS=Homo sapiens GN=DYNC1I2 PE=1 SV=3,0.8447,NA,NA,0.6283,0.4594,NA
EGFR_HUMAN_P00533,Epidermal growth factor receptor OS=Homo sapiens GN=EGFR PE=1 SV=2,NA,NA,NA,0.1146,0.1195,0.1169
PA1B3_HUMAN_Q15102,Platelet-activating factor acetylhydrolase IB subunit gamma OS=Homo sapiens GN=PAFAH1B3 PE=1 SV=1,NA,0.1747,0.1634,NA,NA,NA
FUT8_HUMAN_Q9BYC5,Alpha-(1_6)-fucosyltransferase OS=Homo sapiens GN=FUT8 PE=1 SV=2,0.2914,0.1575,NA,NA,NA,NA
E9PCY7_HUMAN_E9PCY7,Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens GN=HNRNPH1 PE=1 SV=1,NA,NA,NA,3.6511,3.3331,3.0814
